0610007P14Rik	ORF11|RIKEN cDNA 0610007P14 gene
4933413G19Rik	RIKEN cDNA 4933413G19 gene
4933414I15Rik	ENSMUSG00000051192|RIKEN cDNA 4933414I15 gene
4933415F23Rik	RIKEN cDNA 4933415F23 gene
4933416C03Rik	RIKEN cDNA 4933416C03 gene
4933417A18Rik	RIKEN cDNA 4933417A18 gene
4933421I07Rik	RIKEN cDNA 4933421I07 gene
4933425L06Rik	RIKEN cDNA 4933425L06 gene
4933427D06Rik	RIKEN cDNA 4933427D06 gene
4933427D14Rik	RIKEN cDNA 4933427D14 gene
4933427G17Rik	RIKEN cDNA 4933427G17 gene
4933427I04Rik	Riken cDNA 4933427I04 gene
4933428G20Rik	RIKEN cDNA 4933428G20 gene
4933428M09Rik	RIKEN cDNA 4933428M09 gene
4933430I17Rik	RIKEN cDNA 4933430I17 gene
4933433C11Rik	RIKEN cDNA 4933433C11 gene
4933434E20Rik	RIKEN cDNA 4933434E20 gene
4933436I01Rik	RIKEN cDNA 4933436I01 gene
4933440N22Rik	RIKEN cDNA 4933440N22 gene
5031410I06Rik	RIKEN cDNA 5031410I06 gene
5031414D18Rik	LOC380917|RIKEN cDNA 5031414D18 gene
5031439G07Rik	RIKEN cDNA 5031439G07 gene
5330417C22Rik	RIKEN cDNA 5330417C22 gene
5430401F13Rik	RIKEN cDNA 5430401F13 gene
5430402E10Rik	RIKEN cDNA 5430402E10 gene
5430403G16Rik	ENSMUSG00000072763|RIKEN cDNA 5430403G16 gene
5430419D17Rik	RIKEN cDNA 5430419D17 gene
5430421N21Rik	RIKEN cDNA 5430421N21 gene
5430427O19Rik	RIKEN cDNA 5430427O19 gene
5530400C23Rik	RIKEN cDNA 5530400C23 gene
5530401A14Rik	RIKEN cDNA 5530401A14 gene
5730409E04Rik	RIKEN cDNA 5730409E04Rik gene
5730455P16Rik	RIKEN cDNA 5730455P16 gene
5730480H06Rik	RIKEN cDNA 5730480H06 gene
5730507C01Rik	RIKEN cDNA 5730507C01 gene
5730508B09Rik	RIKEN cDNA 5730508B09 gene
5730522E02Rik	RIKEN cDNA 5730522E02 gene
5730559C18Rik	RIKEN cDNA 5730559C18 gene
5730596B20Rik	RIKEN cDNA 5730596B20 gene
5830411N06Rik	Scart2|RIKEN cDNA 5830411N06 gene
5830415F09Rik	RIKEN cDNA 5830415F09 gene
5830473C10Rik	Gm17754|ARG|RIKEN cDNA 5830473C10 gene
6030419C18Rik	RIKEN cDNA 6030419C18 gene
6030426L16Rik	RIKEN cDNA 6030426L16 gene
6030458C11Rik	RIKEN cDNA 6030458C11 gene
6030468B19Rik	RIKEN cDNA 6030468B19 gene
6030498E09Rik	RIKEN cDNA 6030498E09 gene
6230426M11Rik	EG668056|RIKEN cDNA 6230426M11 gene
6330403A02Rik	RIKEN cDNA 6330403A02 gene
6330408A02Rik	RIKEN cDNA 6330408A02 gene
6330409D20Rik	RIKEN cDNA 6330409D20 gene
6330416G13Rik	RIKEN cDNA 6330416G13 gene
6430531B16Rik	LOC381933|RIKEN cDNA 6430531B16 gene
6430548M08Rik	RIKEN cDNA 6430548M08 gene
6430550D23Rik	RIKEN cDNA 6430550D23 gene
6430571L13Rik	RIKEN cDNA 6430571L13 gene
6430573F11Rik	RIKEN cDNA 6430573F11 gene
6720489N17Rik	RIKEN cDNA 6720489N17 gene
6820408C15Rik	RIKEN cDNA 6820408C15 gene
7420426K07Rik	RIKEN cDNA 7420426K07 gene
7420461P10Rik	RIKEN cDNA 7420461P10 gene
7530416G11Rik	RIKEN cDNA 7530416G11 gene
8030411F24Rik	cystatin SC|RIKEN cDNA 8030411F24 gene
8030423J24Rik	RIKEN cDNA 8030423J24 gene
8030462N17Rik	Ark2N|RIKEN cDNA 8030462N17 gene
8030474K03Rik	LOC382231|RIKEN cDNA 8030474K03 gene
8430408G22Rik	Depp|RIKEN cDNA 8430408G22 gene
9030025P20Rik	D17Zt9e|RIKEN cDNA 9030025P20 gene
9030617O03Rik	RIKEN cDNA 9030617O03 gene
9030624G23Rik	RIKEN cDNA 9030624G23 gene
9030624J02Rik	RIKEN cDNA 9030624J02 gene
9130008F23Rik	RIKEN cDNA 9130008F23 gene
9130011E15Rik	RIKEN cDNA 9130011E15 gene
9130019O22Rik	RIKEN cDNA 9130019O22 gene
9130023H24Rik	RIKEN cDNA 9130023H24 gene
9130204L05Rik	LOC229550|RIKEN cDNA 9130204L05 gene
9130230L23Rik	RIKEN cDNA 9130230L23 gene
9130401M01Rik	RIKEN cDNA 9130401M01 gene
9130409I23Rik	RIKEN cDNA 9130409I23 gene
9230102O04Rik	RIKEN cDNA 9230102O04 gene
9230104L09Rik	mCST E2|RIKEN cDNA 9230104L09 gene
9230106D20Rik	RIKEN cDNA 9230106D20 gene
9230110C19Rik	RIKEN cDNA 9230110C19 gene
9230110F15Rik	mANLP3|Pate-A|RIKEN cDNA 9230110F15 gene
9230112D13Rik	RIKEN cDNA 9230112D13 gene
9230113P08Rik	RIKEN cDNA 9230113P08 gene
9330159F19Rik	RIKEN cDNA 9330159F19 gene
9330182L06Rik	RIKEN cDNA 9330182L06 gene
9330182O14Rik	RIKEN cDNA 9330182O14 gene
9430007A20Rik	LOC381572|RIKEN cDNA 9430007A20 gene
9430015G10Rik	RIKEN cDNA 9430015G10 gene
9430016H08Rik	RIKEN cDNA 9430016H08 gene
9430020K01Rik	Jcad|RIKEN cDNA 9430020K01 gene
9430038I01Rik	RIKEN cDNA 9430038I01 gene
9430069I07Rik	RIKEN cDNA 9430069I07 gene
9530002B09Rik	Aump|Vpp1|RIKEN cDNA 9530002B09 gene
9530003J23Rik	RIKEN cDNA 9530003J23 gene
9530053A07Rik	RIKEN cDNA 9530053A07 gene
9530057J20Rik	RIKEN cDNA 9530057J20 gene
9530068E07Rik	RIKEN cDNA 9530068E07 gene
9530077C05Rik	RIKEN cDNA 9530077C05 gene
9630041A04Rik	RIKEN cDNA 9630041A04 gene
9830107B12Rik	RIKEN cDNA 9830107B12 gene
9830147E19Rik	RIKEN cDNA 9830147E19 gene
9930012K11Rik	RIKEN cDNA 9930012K11 gene
9930021J03Rik	Gm9832|RIKEN cDNA 9930021J03 gene
9930022D16Rik	RIKEN cDNA 9930022D16 gene
9930111J21Rik1	9930111J21Rik|RIKEN cDNA 9930111J21 gene 1
9930111J21Rik2	RIKEN cDNA 9930111J21 gene 2
a	As|agouti signal protein|agouti|ASP|nonagouti
A130010J15Rik	RIKEN cDNA A130010J15 gene
A1bg	C44|alpha-1-B glycoprotein
A1cf	ACF|1810073H04Rik|apobec-1 complementation factor|APOBEC1 complementation factor
A230046K03Rik	RIKEN cDNA A230046K03 gene
A230050P20Rik	RIKEN cDNA A230050P20 gene
A230065H16Rik	LOC380787|Lbh2|RIKEN cDNA A230065H16 gene
A230083G16Rik	RIKEN cDNA A230083G16 gene
A2m	A2mp|alpha-2-macroglobulin
A330050F15Rik	RIKEN cDNA A330050F15 gene
A3galt2	LOC215493|iGb3|alpha 1,3-galactosyltransferase 2 (isoglobotriaosylceramide synthase)
A430005L14Rik	RIKEN cDNA A430005L14 gene
A430033K04Rik	RIKEN cDNA A430033K04 gene
A430078G23Rik	RIKEN cDNA A430078G23 gene
A430105I19Rik	RIKEN cDNA A430105I19 gene
A4galt	Gb3 synthase|alpha 1,4-galactosyltransferase
A4gnt	alpha4GnT|LOC333424|alpha-1,4-N-acetylglucosaminyltransferase
A530016L24Rik	Nrac|RIKEN cDNA A530016L24 gene
A530032D15Rik	LOC381287|RIKEN cDNA A530032D15Rik gene
A530064D06Rik	RIKEN cDNA A530064D06 gene
A530084C06Rik	RIKEN cDNA A530084C06 gene
A530099J19Rik	RIKEN cDNA A530099J19 gene
A630001G21Rik	RIKEN cDNA A630001G21 gene
A630010A05Rik	RIKEN cDNA A630010A05 gene
A630023A22Rik	RIKEN cDNA A630023A22 gene
A630033H20Rik	RIKEN cDNA A630033H20 gene
A630073D07Rik	LOC381819|RIKEN cDNA A630073D07 gene
A630076J17Rik	RIKEN cDNA A630076J17 gene
A630095E13Rik	LOC235973|Sslp-1|RIKEN cDNA A630095E13 gene
A630095N17Rik	LOC381272|RIKEN cDNA A630095N17 gene
A730017C20Rik	RIKEN cDNA A730017C20 gene
A730045E13Rik	RIKEN cDNA A730045E13 gene
A730049H05Rik	RIKEN cDNA A730049H05 gene
A730061H03Rik	RIKEN cDNA A730061H03 gene
A830005F24Rik	RIKEN cDNA A830005F24 gene
A830010M20Rik	RIKEN cDNA A830010M20 gene
A830018L16Rik	RIKEN cDNA A830018L16 gene
A830031A19Rik	LOC268391|RIKEN cDNA A830031A19 gene
A830080D01Rik	LOC382252|RIKEN cDNA A830080D01 gene
A930004D18Rik	RIKEN cDNA A930004D18 gene
A930009A15Rik	RIKEN cDNA A930009A15 gene
A930011G23Rik	RIKEN cDNA A930011G23 gene
A930017K11Rik	RIKEN cDNA A930017K11 gene
A930018P22Rik	RIKEN cDNA A930018P22 gene
A930033H14Rik	RIKEN cDNA A930033H14 gene
AA386476	expressed sequence AA386476
AA415398	expressed sequence AA415398
AA467197	NMES1|expressed sequence AA467197
AA474331	expressed sequence AA474331
AA792892	expressed sequence AA792892
AA986860	expressed sequence AA986860
Aaas	GL003|D030041N15Rik|Aladin|achalasia, adrenocortical insufficiency, alacrimia
Aacs	2210408B16Rik|acetoacetyl-CoA synthetase
Aadac	Aada|5033417E09Rik|arylacetamide deacetylase (esterase)
Aadacl2	EG639634|arylacetamide deacetylase-like 2
Aadacl3	LOC230883|arylacetamide deacetylase-like 3
Aadat	mKat-2|Kat2|KATII|aminoadipate aminotransferase
Aaed1	1110018J18Rik|AhpC/TSA antioxidant enzyme domain containing 1
Aagab	2310007F21Rik|alpha- and gamma-adaptin binding protein
Aak1	5530400K14Rik|D6Ertd245e|AP2 associated kinase 1
Aamdc	1810020D17Rik|1810037D19Rik|adipogenesis associated Mth938 domain containing
Aamp	Aamp-rs|angio-associated migratory protein
Aanat	Nat4|Nat-2|SNAT|arylalkylamine N-acetyltransferase
Aar2	0610011L14Rik|AAR2 splicing factor homolog (S. cerevisiae)
Aard	alanine and arginine rich domain containing protein
Aars	alanyl-tRNA synthetase
Aars2	Aarsl|alanyl-tRNA synthetase 2, mitochondrial (putative)
Aarsd1	2310044P18Rik|alanyl-tRNA synthetase domain containing 1
Aasdh	A230062G08Rik|aminoadipate-semialdehyde dehydrogenase
Aasdhppt	LYS2|LYS5|2010309J24Rik|2810407B07Rik|CGI-80|AASD-PPT|aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase
Aass	Lorsdh|LOR/SDH|aminoadipate-semialdehyde synthase
Aatf	Trb|4933415H02Rik|Che-1|5830465M17Rik|apoptosis antagonizing transcription factor
Aatk	AATYK1|apoptosis-associated tyrosine kinase
AB124611	LOC382062|HIDE1|cDNA sequence AB124611
Abat	GABA-T|9630038C02Rik|4-aminobutyrate aminotransferase
Abca1	ABC1|ATP-binding cassette, sub-family A (ABC1), member 1
Abca12	4833417A11Rik|4832428G11Rik|ATP-binding cassette, sub-family A (ABC1), member 12
Abca13	A930002G16Rik|ATP-binding cassette, sub-family A (ABC1), member 13
Abca14	1700110B15Rik|4930539G24Rik|ATP-binding cassette, sub-family A (ABC1), member 14
Abca15	4930500I12Rik|ATP-binding cassette, sub-family A (ABC1), member 15
Abca16	ATP-binding cassette, sub-family A (ABC1), member 16
Abca17	ATP-binding cassette, sub-family A (ABC1), member 17
Abca2	Abc2|D2H0S1474E|ATP-binding cassette, sub-family A (ABC1), member 2
Abca3	ABC-C|Abc3|1810036E22Rik|ATP-binding cassette, sub-family A (ABC1), member 3
Abca4	Rim protein|Abc10|RmP|D430003I15Rik|ATP-binding cassette, sub-family A (ABC1), member 4
Abca5	B930033A02Rik|ABC13|ATP-binding cassette, sub-family A (ABC1), member 5
Abca6	6330565N06Rik|ATP-binding cassette, sub-family A (ABC1), member 6
Abca7	Abc51|ATP-binding cassette, sub-family A (ABC1), member 7
Abca8a	ATP-binding cassette, sub-family A (ABC1), member 8a
Abca8b	Abca8|ATP-binding cassette, sub-family A (ABC1), member 8b
Abca9	D630040K07Rik|ATP-binding cassette, sub-family A (ABC1), member 9
Abcb10	ABC-me|ATP-binding cassette, sub-family B (MDR/TAP), member 10
Abcb11	Bsep|Lith1|ABC16|PGY4|sister of P-glycoprotein|PFIC2|ATP-binding cassette, sub-family B (MDR/TAP), member 11
Abcb1a	mdr-3|Pgy3|Pgy-3|Mdr1a|MDR3|Pgp|P-glycoprotein|Evi32|multiple drug resistant 1a|P-gp|ATP-binding cassette, sub-family B (MDR/TAP), member 1A
Abcb1b	Mdr1|Mdr1b|Abcb1|mdr|Pgy1|Pgy-1|ATP-binding cassette, sub-family B (MDR/TAP), member 1B
Abcb4	mdr-2|Pgy2|Pgy-2|Mdr2|ATP-binding cassette, sub-family B (MDR/TAP), member 4
Abcb5	9230106F14Rik|ATP-binding cassette, sub-family B (MDR/TAP), member 5
Abcb6	1200005B17Rik|ATP-binding cassette, sub-family B (MDR/TAP), member 6
Abcb7	Abc7|ATP-binding cassette, sub-family B (MDR/TAP), member 7
Abcb8	4833412N02Rik|ATP-binding cassette, sub-family B (MDR/TAP), member 8
Abcb9	TAPL|ATP-binding cassette, sub-family B (MDR/TAP), member 9
Abcc1	Mrp1|MRP|Mdrap|Abcc1a|Abcc1b|ATP-binding cassette, sub-family C (CFTR/MRP), member 1
Abcc10	Mrp7|ATP-binding cassette, sub-family C (CFTR/MRP), member 10
Abcc12	4930467B22Rik|MRP9|ATP-binding cassette, sub-family C (CFTR/MRP), member 12
Abcc2	Cmoat|Mrp2|multidrug resistance protein 2|ATP-binding cassette, sub-family C (CFTR/MRP), member 2
Abcc3	MRP3|1700019L09Rik|ATP-binding cassette, sub-family C (CFTR/MRP), member 3
Abcc4	MOAT-B|D630049P08Rik|MRP4|ATP-binding cassette, sub-family C (CFTR/MRP), member 4
Abcc5	Mrp5|Abcc5a|2900011L11Rik|Abcc5b|ATP-binding cassette, sub-family C (CFTR/MRP), member 5
Abcc6	Dyscalc1|Mrp6|DCC|ATP-binding cassette, sub-family C (CFTR/MRP), member 6
Abcc8	D930031B21Rik|Sur|SUR1|ATP-binding cassette, sub-family C (CFTR/MRP), member 8
Abcc9	SUR2A|SUR2B|Sur2|ATP-binding cassette, sub-family C (CFTR/MRP), member 9
Abcd1	Aldgh|ALDP|Ald|ATP-binding cassette, sub-family D (ALD), member 1
Abcd2	ALDL1|ALDR|adrenoleukodystrophy related|ABC39|ATP-binding cassette, sub-family D (ALD), member 2
Abcd3	PMP70|Pxmp1|ATP-binding cassette, sub-family D (ALD), member 3
Abcd4	Pxmp1l|P69r|ATP-binding cassette, sub-family D (ALD), member 4
Abce1	RNS4l (Eye)|Oabp|Rnaseli|ATP-binding cassette, sub-family E (OABP), member 1
Abcf1	GCN20|D17Wsu166e|Abc50|ATP-binding cassette, sub-family F (GCN20), member 1
Abcf2	0710005O05Rik|Drr3|ATP-binding cassette, sub-family F (GCN20), member 2
Abcf3	ATP-binding cassette, sub-family F (GCN20), member 3
Abcg1	White|Abc8|ATP-binding cassette, sub-family G (WHITE), member 1
Abcg2	Bcrp|ATP-binding cassette, sub-family G (WHITE), member 2
Abcg3	Abcp2|Mxr2|ATP-binding cassette, sub-family G (WHITE), member 3
Abcg4	6430517O04Rik|ATP-binding cassette, sub-family G (WHITE), member 4
Abcg5	cmp|trac|Sterolin-1|ATP-binding cassette, sub-family G (WHITE), member 5
Abcg8	1300003C16Rik|Sterolin-2|ATP-binding cassette, sub-family G (WHITE), member 8
Abhd1	LABH-1|alpha/beta hydrolase-1|LABH1|abhydrolase domain containing 1
Abhd10	D230019K24Rik|abhydrolase domain containing 10
Abhd11	Wbscr21|A630008N09Rik|1110054D16Rik|abhydrolase domain containing 11
Abhd12	6330583M11Rik|1500011G07Rik|abhydrolase domain containing 12
Abhd12b	LOC328121|abhydrolase domain containing 12B
Abhd13	1110065L07Rik|abhydrolase domain containing 13
Abhd14a	1110013B16Rik|Dorz1|abhydrolase domain containing 14A
Abhd14b	1810013B01Rik|abhydrolase domain containing 14b
Abhd15	1300007F04Rik|abhydrolase domain containing 15
Abhd16a	D17H6S82E|NG26|Bat5|abhydrolase domain containing 16A
Abhd16b	BC050777|abhydrolase domain containing 16B
Abhd17a	Fam108a|D10Bwg1364e|1700013O15Rik|abhydrolase domain containing 17A
Abhd17b	Fam108b|5730446C15Rik|abhydrolase domain containing 17B
Abhd17c	2210412D01Rik|Fam108c|abhydrolase domain containing 17C
Abhd2	2210009N18Rik|LABH2|abhydrolase domain containing 2
Abhd3	LABH3|abhydrolase domain containing 3
Abhd4	1110035H23Rik|abhydrolase domain containing 4
Abhd5	1300003D03Rik|CGI-58|NCIE2|IECN5|2010002J10Rik|abhydrolase domain containing 5
Abhd6	0610041D24Rik|abhydrolase domain containing 6
Abhd8	0910001L24Rik|abhydrolase domain containing 8
Abi1	E3B1|Ssh3bp1|abl-interactor 1
Abi2	8430425M24Rik|abl-interactor 2
Abi3	2210414K06Rik|ABI gene family, member 3
Abi3bp	5033411B22Rik|D930038M13Rik|TARSH|eratin|ABI gene family, member 3 (NESH) binding protein
Abl1	c-Abl|E430008G22Rik|c-abl oncogene 1, non-receptor tyrosine kinase
Abl2	Abll|Arg|v-abl Abelson murine leukemia viral oncogene 2 (arg, Abelson-related gene)
Ablim1	4833406P10Rik|2610209L21Rik|abLIM-S|abLIM-M|abLIM-L|9330196J19Rik|Limab1|2210411C18Rik|actin-binding LIM protein 1
Ablim2	actin-binding LIM protein 2
Ablim3	D930036B08Rik|actin binding LIM protein family, member 3
Abo	cis-AB transferase|ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase, transferase B, alpha 1-3-galactosyltransferase)
Abr	6330400K15Rik|active BCR-related gene
Abra	C130068O12Rik|STARS|actin-binding Rho activating protein
Abracl	3110003A17Rik|1700028I04Rik|ABRA C-terminal like
Abt1	activator of basal transcription 1
Abtb1	EF1ABP|BPOZ|ankyrin repeat and  BTB (POZ) domain containing 1
Abtb2	BPOZ-2|ankyrin repeat and BTB (POZ) domain containing 2
Acaa1a	PTL|thiolase A|peroxisomal 3-ketoacyl-CoA thiolase|Acaa1|D9Ertd25e|acetyl-Coenzyme A acyltransferase 1A
Acaa1b	thiolase B|acetyl-Coenzyme A acyltransferase 1B
Acaa2	0610011L04Rik|D18Ertd240e|acetyl-Coenzyme A acyltransferase 2 (mitochondrial 3-oxoacyl-Coenzyme A thiolase)
Acaca	Acac|Acc1|acetyl-CoA carboxylase|A530025K05Rik|LOC327983|acetyl-Coenzyme A carboxylase alpha
Acacb	Acc2|Accb|acetyl-Coenzyme A carboxylase beta
Acad10	2410021P16Rik|acyl-Coenzyme A dehydrogenase family, member 10
Acad11	5730439E10Rik|acyl-Coenzyme A dehydrogenase family, member 11
Acad12	9330129D05Rik|acyl-Coenzyme A dehydrogenase family, member 12
Acad8	2310016C19Rik|acyl-Coenzyme A dehydrogenase family, member 8
Acad9	2600017P15Rik|C630012L17Rik|NPD002|acyl-Coenzyme A dehydrogenase family, member 9
Acadl	LCAD|C79855|acyl-Coenzyme A dehydrogenase, long-chain
Acadm	MCAD|acyl-Coenzyme A dehydrogenase, medium chain
Acads	Bcd1|Bcd-1|SCAD|Hdlq8|acyl-Coenzyme A dehydrogenase, short chain
Acadsb	1300003O09Rik|acyl-Coenzyme A dehydrogenase, short/branched chain
Acadvl	VLCAD|acyl-Coenzyme A dehydrogenase, very long chain
Acan	Agc1|b2b183Clo|Cspg1|aggrecan
Acap1	Centb1|ArfGAP with coiled-coil, ankyrin repeat and PH domains 1
Acap2	Centb2|9530039J15Rik|ArfGAP with coiled-coil, ankyrin repeat and PH domains 2
Acap3	Centb5|Kiaa1716-hp|ArfGAP with coiled-coil, ankyrin repeat and PH domains 3
Acat1	6330585C21Rik|Acat|acetyl-Coenzyme A acetyltransferase 1
Acat2	Tcp1-rs1|Tcp-1x|acetyl-Coenzyme A acetyltransferase 2
Acat3	ACTL|acetyl-Coenzyme A acetyltransferase 3
Acbd3	8430407O11Rik|Gocap1|Pap7|D1Ertd10e|acyl-Coenzyme A binding domain containing 3
Acbd4	2010015A21Rik|2010009P05Rik|acyl-Coenzyme A binding domain containing 4
Acbd5	1300014E15Rik|acyl-Coenzyme A binding domain containing 5
Acbd6	2610100E10Rik|0610010G04Rik|acyl-Coenzyme A binding domain containing 6
Acbd7	9230116B18Rik|acyl-Coenzyme A binding domain containing 7
Accs	2610203E10Rik|1-aminocyclopropane-1-carboxylate synthase (non-functional)
Accsl	1-aminocyclopropane-1-carboxylate synthase (non-functional)-like
Acd	adrenocortical dysplasia
Ace	CD143|angiotensin I converting enzyme (peptidyl-dipeptidase A) 1
Ace2	2010305L05Rik|angiotensin I converting enzyme (peptidyl-dipeptidase A) 2
Ace3	EG217246|angiotensin I converting enzyme (peptidyl-dipeptidase A) 3
Acer1	Asah3|2310024P18Rik|Cer1|alkaline ceramidase 1
Acer2	2410116I05Rik|Asah3l|alkaline ceramidase 2
Acer3	1110057L18Rik|Phca|5430429L08Rik|alkaline ceramidase 3
Ache	acetylcholinesterase
Acin1	Acinus|2610036I19Rik|2610510L13Rik|apoptotic chromatin condensation inducer 1
Ackr1	CD234|FY|Darc|ESTM35|CCBP1|Dfy|atypical chemokine receptor 1 (Duffy blood group)
Ackr2	chemokine decoy receptor D6|Ccbp2|D6|atypical chemokine receptor 2
Ackr3	Cxcr7|Rdc1|Cmkor1|atypical chemokine receptor 3
Ackr4	CCBP2|Ccrl1|VSHK1|CCR11|A630091E18Rik|CCX-CKR|PPR1|atypical chemokine receptor 4
Acly	A730098H14Rik|ATP citrate lyase
Acmsd	amino carboxymuconate semialdehyde decarboxylase
Acnat1	acyl-coenzyme A amino acid N-acyltransferase 1
Acnat2	C730036D15Rik|acyl-coenzyme A amino acid N-acyltransferase 2
Aco1	Irebp|Aco-1|Irp1|aconitase 1
Aco2	Aco-2|D10Wsu183e|Aco3|aconitase 2, mitochondrial
Acot1	Cte1|CTE-1|ACH2|CTE-I|D12Ucla1|acyl-CoA thioesterase 1
Acot10	Acate3|p48|MT-ACT48|acyl-CoA thioesterase 10
Acot11	Them1|Thea|1110020M10Rik|BFIT1|2010309H15Rik|acyl-CoA thioesterase 11
Acot12	1300004O04Rik|4930449F15Rik|Cach|acyl-CoA thioesterase 12
Acot13	Them2|0610006O17Rik|acyl-CoA thioesterase 13
Acot2	MTE-I|Mte1|acyl-CoA thioesterase 2
Acot3	PTE-Ia|Pte2a|acyl-CoA thioesterase 3
Acot4	B430212I04Rik|Pte2b|PTE-Ib|acyl-CoA thioesterase 4
Acot5	PTE-Ic|acyl-CoA thioesterase 5
Acot6	4632408A20Rik|acyl-CoA thioesterase 6
Acot7	Bach|2410041A17Rik|AU014716|acyl-CoA thioesterase 7
Acot8	Pte1|PTE-2|acyl-CoA thioesterase 8
Acot9	0610041P13Rik|Acate2|p48|U8|MT-ACT48|acyl-CoA thioesterase 9
Acox1	Acyl-CoA oxidase|D130055E20Rik|AOX|acyl-Coenzyme A oxidase 1, palmitoyl
Acox2	acyl-Coenzyme A oxidase 2, branched chain
Acox3	EST-s59|PCOX|pristanoyl-CoA oxidase|acyl-Coenzyme A oxidase 3, pristanoyl
Acoxl	1200014P05Rik|acyl-Coenzyme A oxidase-like
Acp1	Acp-1|LMW-PTP|4632432E04Rik|acid phosphatase 1, soluble
Acp2	LAP|Acp-2|acid phosphatase 2, lysosomal
Acp5	TRACP|TRAP|acid phosphatase 5, tartrate resistant
Acp6	ACPL1|5730559A09Rik|mPACPL1|acid phosphatase 6, lysophosphatidic
Acpp	PAP|A030005E02Rik|acid phosphatase, prostate
Acpt	EG546967|acid phosphatase, testicular
Acr	preproacrosin|acrosin prepropeptide
Acrbp	OY-TES-1|sp32|proacrosin binding protein
Acrv1	SP-10|Msa63|acrosomal vesicle protein 1
Acsbg1	Lpd|E230019G03Rik|Bgm|BG1|acyl-CoA synthetase bubblegum family member 1
Acsbg2	Bgr|acyl-CoA synthetase bubblegum family member 2
Acsf2	acyl-CoA synthetase family member 2
Acsf3	acyl-CoA synthetase family member 3
Acsl1	Facl2|Acas1|acyl-CoA synthetase long-chain family member 1
Acsl3	C85929|Facl3|2610510B12Rik|acyl-CoA synthetase long-chain family member 3
Acsl4	Lacs4|Facl4|9430020A05Rik|ACS4|acyl-CoA synthetase long-chain family member 4
Acsl5	1700030F05Rik|Facl5|acyl-CoA synthetase long-chain family member 5
Acsl6	Facl6|A330035H04Rik|Lacsl|acyl-CoA synthetase long-chain family member 6
Acsm1	Bucs1|Macs|acyl-CoA synthetase medium-chain family member 1
Acsm2	acyl-CoA synthetase medium-chain family member 2
Acsm3	Sa|Sah|acyl-CoA synthetase medium-chain family member 3
Acsm4	OMACS|O-MACS|acyl-CoA synthetase medium-chain family member 4
Acsm5	C730027J19Rik|acyl-CoA synthetase medium-chain family member 5
Acss1	Acas2|AceCS2|Acas2l|1110032O15Rik|acyl-CoA synthetase short-chain family member 1
Acss2	Acas2|Acas1|Acs1|AceCS1|acetyl-CoA synthetase 1|ACAS|acyl-CoA synthetase short-chain family member 2
Acss3	LOC380660|8430416H19Rik|acyl-CoA synthetase short-chain family member 3
Acta1	Actsk-1|Acts|actin, alpha 1, skeletal muscle
Acta2	0610041G09Rik|alphaSMA|a-SMA|SMalphaA|Actvs|actin, alpha 2, smooth muscle, aorta
Actb	beta-actin|Actx|E430023M04Rik|A-X actin-like protein|actin, beta
Actbl2	4732495G21Rik|actin, beta-like 2
Actc1	Actc-1|alphac-actin|actin, alpha, cardiac muscle 1
Actg1	Actl|E51|actin, gamma, cytoplasmic 1
Actg2	SMGA|Act-4|Act4|ACTA3|actin, gamma 2, smooth muscle, enteric
Actl10	1700007I08Rik|actin-like 10
Actl11	4921517D21Rik|actin-like 11
Actl6a	Baf53a|Actl6|2810432C06Rik|ARP4|actin-like 6A
Actl6b	ArpNa|Baf53b|Actl6|actin-like 6B
Actl7a	Tact2|t-actin 2|actin-like 7a
Actl7b	Tact1|ENSMUSG00000070980|t-actin 1|actin-like 7b
Actl9	1700029I08Rik|actin-like 9
Actn1	3110023F10Rik|actinin, alpha 1
Actn2	1110008F24Rik|actinin alpha 2
Actn3	actinin alpha 3
Actn4	actinin alpha 4
Actr10	Arp11|ARP10 actin-related protein 10
Actr1a	ARP1 actin-related protein 1A, centractin alpha
Actr1b	Arp1b|2310066K23Rik|ARP1 actin-related protein 1B, centractin beta
Actr2	4921510D23Rik|D6Ertd746e|Arp2|ARP2 actin-related protein 2
Actr3	1200003A09Rik|Arp3|ARP3 actin-related protein 3
Actr3b	Arp3b|ARP11|ARP3 actin-related protein 3B
Actr5	B430109J19Rik|ARP5 actin-related protein 5
Actr6	2010200J04Rik|CDA12|ArpX|Arp6|ARP6 actin-related protein 6
Actr8	ARP8|5730542K05Rik|ARP8 actin-related protein 8
Actrt1	1700061J02Rik|Arp-T1|actin-related protein T1
Actrt2	Arpm2|Arp-T2|1700052K15Rik|actin-related protein T2
Actrt3	1700119I24Rik|Arpm1|actin related protein T3
Acvr1	SKR1|Alk-2|ActR-I|ALK2|Acvrlk2|ActRIA|D330013D15Rik|Alk8|Acvr|Tsk7L|activin A receptor, type 1
Acvr1b	Acvrlk4|Alk4|SKR2|ActRIB|ActR-IB|activin A receptor, type 1B
Acvr1c	Alk-7|ALK7|activin A receptor, type IC
Acvr2a	Acvr2|tActRII|ActRIIa|activin receptor IIA
Acvr2b	ActRIIB|activin receptor IIB
Acvrl1	Acvrlk1|Alk1|Alk-1|activin receptor-like kinase-1|activin A receptor, type II-like 1
Acy1	1110014J22Rik|Acy-1|aminoacylase 1
